deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.015 pixels_wall_ms=14.413 repairs=0 repair_GPU_ms=0.011 prepack_wall_ms=14.592
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.018 pixels_wall_ms=14.528 repairs=0 repair_GPU_ms=0.011 prepack_wall_ms=14.719
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.017 pixels_wall_ms=14.567 repairs=0 repair_GPU_ms=0.012 prepack_wall_ms=14.737
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=8.892 repairs=0 repair_GPU_ms=0.011 prepack_wall_ms=9.068
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.017 pixels_wall_ms=8.556 repairs=0 repair_GPU_ms=0.012 prepack_wall_ms=8.730
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.017 pixels_wall_ms=8.357 repairs=0 repair_GPU_ms=0.011 prepack_wall_ms=8.521
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=6.355 repairs=0 repair_GPU_ms=0.008 prepack_wall_ms=6.527
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=14.438 repairs=0 repair_GPU_ms=0.012 prepack_wall_ms=14.613
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.017 pixels_wall_ms=14.808 repairs=0 repair_GPU_ms=0.011 prepack_wall_ms=14.981
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.020 pixels_wall_ms=14.879 repairs=0 repair_GPU_ms=0.011 prepack_wall_ms=15.061
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.017 pixels_wall_ms=14.149 repairs=0 repair_GPU_ms=0.012 prepack_wall_ms=14.304
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.017 pixels_wall_ms=8.485 repairs=0 repair_GPU_ms=0.011 prepack_wall_ms=8.663
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.017 pixels_wall_ms=7.873 repairs=0 repair_GPU_ms=0.011 prepack_wall_ms=8.043
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.015 pixels_wall_ms=8.770 repairs=0 repair_GPU_ms=0.012 prepack_wall_ms=8.935
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.017 pixels_wall_ms=8.433 repairs=0 repair_GPU_ms=0.011 prepack_wall_ms=8.662
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.024 pixels_wall_ms=6.210 repairs=0 repair_GPU_ms=0.009 prepack_wall_ms=6.385
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.024 pixels_wall_ms=14.223 repairs=0 repair_GPU_ms=0.012 prepack_wall_ms=14.414
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=14.187 repairs=0 repair_GPU_ms=0.012 prepack_wall_ms=14.362
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.020 pixels_wall_ms=11.349 repairs=0 repair_GPU_ms=0.010 prepack_wall_ms=11.549
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.017 pixels_wall_ms=11.232 repairs=0 repair_GPU_ms=0.012 prepack_wall_ms=11.397
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.015 pixels_wall_ms=8.018 repairs=0 repair_GPU_ms=0.012 prepack_wall_ms=8.190
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.015 pixels_wall_ms=8.418 repairs=0 repair_GPU_ms=0.011 prepack_wall_ms=8.586
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=8.135 repairs=0 repair_GPU_ms=0.012 prepack_wall_ms=8.310
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=8.250 repairs=0 repair_GPU_ms=0.012 prepack_wall_ms=8.484
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=8.099 repairs=0 repair_GPU_ms=0.009 prepack_wall_ms=8.273
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=14.299 repairs=0 repair_GPU_ms=0.012 prepack_wall_ms=14.471
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=14.071 repairs=0 repair_GPU_ms=0.012 prepack_wall_ms=14.239
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.017 pixels_wall_ms=7.778 repairs=0 repair_GPU_ms=0.011 prepack_wall_ms=7.986
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.015 pixels_wall_ms=7.566 repairs=0 repair_GPU_ms=0.012 prepack_wall_ms=7.745
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=7.562 repairs=0 repair_GPU_ms=0.013 prepack_wall_ms=7.734
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.018 pixels_wall_ms=8.043 repairs=0 repair_GPU_ms=0.012 prepack_wall_ms=8.213
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.015 pixels_wall_ms=8.081 repairs=0 repair_GPU_ms=0.012 prepack_wall_ms=8.238
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.017 pixels_wall_ms=8.289 repairs=0 repair_GPU_ms=0.012 prepack_wall_ms=8.455
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.017 pixels_wall_ms=8.172 repairs=0 repair_GPU_ms=0.008 prepack_wall_ms=8.351
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.023 pixels_wall_ms=7.952 repairs=0 repair_GPU_ms=0.010 prepack_wall_ms=8.148
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=7.729 repairs=0 repair_GPU_ms=0.012 prepack_wall_ms=7.926
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=7.515 repairs=0 repair_GPU_ms=0.011 prepack_wall_ms=7.681
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.015 pixels_wall_ms=7.914 repairs=0 repair_GPU_ms=0.011 prepack_wall_ms=8.152
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=8.049 repairs=0 repair_GPU_ms=0.012 prepack_wall_ms=8.218
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.020 pixels_wall_ms=8.721 repairs=0 repair_GPU_ms=0.011 prepack_wall_ms=8.904
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.017 pixels_wall_ms=8.703 repairs=0 repair_GPU_ms=0.013 prepack_wall_ms=8.893
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.015 pixels_wall_ms=13.970 repairs=0 repair_GPU_ms=0.013 prepack_wall_ms=14.158
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.015 pixels_wall_ms=10.190 repairs=0 repair_GPU_ms=0.009 prepack_wall_ms=10.349
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=3.268 repairs=0 repair_GPU_ms=0.006 prepack_wall_ms=3.423
