deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.018 pixels_wall_ms=13.386 repairs=0 repair_GPU_ms=0.010 batch_wall_ms=13.612
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.017 pixels_wall_ms=12.716 repairs=0 repair_GPU_ms=0.008 batch_wall_ms=12.906
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.017 pixels_wall_ms=12.579 repairs=0 repair_GPU_ms=0.010 batch_wall_ms=12.789
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.017 pixels_wall_ms=12.652 repairs=0 repair_GPU_ms=0.011 batch_wall_ms=12.831
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=12.738 repairs=0 repair_GPU_ms=0.011 batch_wall_ms=12.915
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=12.312 repairs=0 repair_GPU_ms=0.010 batch_wall_ms=12.497
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.017 pixels_wall_ms=13.135 repairs=0 repair_GPU_ms=0.011 batch_wall_ms=13.342
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.018 pixels_wall_ms=13.403 repairs=0 repair_GPU_ms=0.010 batch_wall_ms=13.642
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.019 pixels_wall_ms=13.558 repairs=0 repair_GPU_ms=0.011 batch_wall_ms=13.751
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.017 pixels_wall_ms=26.067 repairs=0 repair_GPU_ms=0.012 batch_wall_ms=26.277
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.020 pixels_wall_ms=17.269 repairs=0 repair_GPU_ms=0.009 batch_wall_ms=17.462
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.020 pixels_wall_ms=5.139 repairs=0 repair_GPU_ms=0.006 batch_wall_ms=5.311
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.018 pixels_wall_ms=5.261 repairs=0 repair_GPU_ms=0.006 batch_wall_ms=5.419
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.018 pixels_wall_ms=4.743 repairs=0 repair_GPU_ms=0.006 batch_wall_ms=4.920
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.017 pixels_wall_ms=5.326 repairs=0 repair_GPU_ms=0.005 batch_wall_ms=5.498
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.018 pixels_wall_ms=5.733 repairs=0 repair_GPU_ms=0.005 batch_wall_ms=5.903
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.042 pixels_wall_ms=5.407 repairs=0 repair_GPU_ms=0.006 batch_wall_ms=5.610
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.025 pixels_wall_ms=5.973 repairs=0 repair_GPU_ms=0.006 batch_wall_ms=6.160
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.025 pixels_wall_ms=9.299 repairs=0 repair_GPU_ms=0.006 batch_wall_ms=9.473
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.017 pixels_wall_ms=16.701 repairs=0 repair_GPU_ms=0.005 batch_wall_ms=16.859
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.112 pixels_wall_ms=26.774 repairs=0 repair_GPU_ms=0.011 batch_wall_ms=27.073
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.020 pixels_wall_ms=25.883 repairs=0 repair_GPU_ms=0.010 batch_wall_ms=26.104
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.020 pixels_wall_ms=26.212 repairs=0 repair_GPU_ms=0.011 batch_wall_ms=26.428
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.019 pixels_wall_ms=26.775 repairs=0 repair_GPU_ms=0.010 batch_wall_ms=27.006
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.019 pixels_wall_ms=26.601 repairs=0 repair_GPU_ms=0.011 batch_wall_ms=26.818
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.018 pixels_wall_ms=26.175 repairs=0 repair_GPU_ms=0.012 batch_wall_ms=26.368
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.018 pixels_wall_ms=22.809 repairs=0 repair_GPU_ms=0.013 batch_wall_ms=22.987
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=15.162 repairs=0 repair_GPU_ms=0.012 batch_wall_ms=15.384
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.019 pixels_wall_ms=9.524 repairs=0 repair_GPU_ms=0.008 batch_wall_ms=9.723
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.017 pixels_wall_ms=26.027 repairs=0 repair_GPU_ms=0.010 batch_wall_ms=26.203
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.017 pixels_wall_ms=26.183 repairs=0 repair_GPU_ms=0.011 batch_wall_ms=26.362
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.017 pixels_wall_ms=25.652 repairs=0 repair_GPU_ms=0.016 batch_wall_ms=25.825
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.018 pixels_wall_ms=26.064 repairs=0 repair_GPU_ms=0.012 batch_wall_ms=26.289
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.022 pixels_wall_ms=24.853 repairs=0 repair_GPU_ms=0.011 batch_wall_ms=25.091
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.026 pixels_wall_ms=14.866 repairs=0 repair_GPU_ms=0.011 batch_wall_ms=15.044
